tracking_number,code
0215142000028622,500
0215142000028622,500
0215142000061953,500
0215142000079898,500
0806542000129251,500
5408072000005161,500
0806542000161098,500
0806552000010658,500
0806552000010674,500
0806552000010682,500
0215142000121260,500
0120142000023866,500
0215152000018648,500
5408072000005963,500
0120132000206660,500
0120132000204566,500
0806542000181880,500
0215142000148388,500
0120132000209177,500
0120132000208476,500
0120132000233243,500
0120132000213138,500
0215142000141391,500
0806542000205788,500
0806542000217957,500
0215142000142233,500
0215142000142233,500
0215142000142233,500
0215142000142233,500
0215142000143777,500
0120132000234985,500
0215142000149923,500
0806542000226883,500
0120132000228524,500
0120132000233532,500
0120132000246518,500
0120132000245783,500
0215142000149865,500
0120132000243598,500
0215142000192378,500
0215142000162249,500
0120132000273306,500
0120132000273306,500
0120132000273306,500
0806542000241262,500
0120132000264081,500
0215142000205634,500
0806542000248952,500
0215142000167636,500
0215142000167636,500
0215142000167636,500
0215142000176777,500
0120132000272605,500
0806542000264983,500
0606802000002375,500
0606802000002375,500
0606802000002375,500
0606802000002342,500
0606802000002342,500
0606802000002342,500
0120132000297651,500
0606802000002672,500
0606802000002672,500
0606802000002672,500
0120132000313466,500
0215142000192238,500
0120132000311700,500
0806542000296381,500
0806542000296787,500
0120132000292371,500
0606802000002664,500
0606802000002664,500
0606802000002664,500
0215142000188178,500
0806542000299757,500
0806542000308954,500
0806542000309630,500
0806542000309697,500
0806542000309655,500
0215142000207440,500
0120132000317673,500
0120132000317129,500
0806542000322708,500
0806542000322930,500
0806542000320991,500
0806552000027298,500
0806542000330586,500
0806542000353489,500
0215142000220120,500
0806542000348943,500
0215142000223108,500
0215142000221391,500
0806542000358918,500
0120132000366159,500
0806542000387222,500
0215142000238882,500
0806542000412715,500
0806542000418761,500
0806542000420072,500
0806542000414315,500
0120132000407482,500
3006982000005758,500
0215142000256926,500
0120132000401865,500
0120132000415022,500
0806542000447364,500
0806542000504222,500
0120132000438610,500
0120132000443362,500
0806542000505567,500
0120132000452546,500
0120132000452918,500
0120132000452918,500
0120132000455028,500
0120132000455036,500
0806542000522109,500
0215142000308594,500
0806552000044814,500
0806552000046355,500
5408072000020079,500
0806542000555836,500
0215142000309204,500
0215142000321290,500
0215142000354069,500
5408072000028478,500
0215152000051045,500
0806552000048955,500
0215142000367202,500
0215152000051144,500
0120142000059803,500
0215152000051417,500
0215152000051417,500
0215152000051474,500
0120132000558474,500
0215142000367111,500
0215152000051128,500
0806542000630233,500
0806542000627544,500
0215152000051458,500
0120142000060025,500
0120142000062443,500
0215142000368663,500
0215142000368663,500
0120132000549697,500
0215142000367624,500
0215152000051136,500
0215142000368556,500
0215142000368648,500
0120132000557237,500
0806552000049474,500
0215152000051227,500
0806542000644937,500
0120132000557385,500
0806542000638731,500
0806542000641875,500
0806542000642907,500
5408072000028080,500
0215142000377003,500
0806542000642253,500
0120132000559159,500
0120132000559159,500
0120132000559159,500
0306832000001062,500
0120132000557443,500
0120132000557443,500
0120132000557542,500
0215142000404047,500
0215142000369307,500
0120132000557617,500
0215142000369729,500
0806542000643699,500
0215142000369646,500
0806542000644341,500
0806542000645066,500
0120132000558458,500
0806542000651320,500
0806542000645397,500
0215142000369364,500
0120142000061999,500
0806542000664430,500
0806542000678786,500
0215152000052449,500
0215142000379462,500
0120132000580403,500
0120132000569158,500
0215152000063818,500
0215142000379785,500
0806542000662434,500
0120142000061700,500
0215142000400771,500
0215142000400771,500
0120132000592523,500
0120132000592523,500
0806552000051447,500
0120132000580494,500
0120132000580494,500
0806542000680949,500
0120132000573630,500
0806552000051504,500
5408072000027439,500
0806542000687738,500
0120142000065727,500
0120132000606844,500
0215142000378563,500
0120132000584892,500
0120132000588133,500
0215152000054833,500
0120132000579504,500
0606802000009982,500
0120132000592192,500
0120142000068036,500
0120132000610564,500
0806542000704723,500
0806542000685807,500
0120132000610671,500
0215142000388117,500
0120132000588265,500
0215152000055764,500
0120132000678207,500
0215142000395708,500
0215142000386608,500
0215142000427873,500
0215142000390600,500
0120132000611091,500
0806542000685179,500
0806542000695830,500
0806542000702248,500
0806542000695160,500
0806542000690484,500
0120142000069067,500
0806542000696226,500
0806542000696127,500
0806552000054383,500
0806542000747672,500
0120132000629309,500
0215142000403726,500
0120132000611646,500
0806542000710779,500
0806542000701281,500
1206052000000142,500
0806542000700192,500
0215142000396565,500
0215142000399106,500
0120142000070529,500
0120142000070529,500
0120132000604831,500
0806542000711942,500
0120132000599114,500
0806542000701695,500
0806542000701570,500
0120132000599882,500
0120132000619284,500
0120142000072368,500
0215142000400292,500
3006982000007507,500
0120132000617163,500
0120132000653226,500
0120132000616280,500
0120132000616280,500
0120142000067541,500
0806542000721115,500
0806542000802980,500
0215142000406471,500
0120142000067251,500
0120132000620571,500
2506842000001412,500
0215142000406539,500
0215142000412644,500
0120132000629499,500
0806542000728813,500
0806542000723186,500
0215142000407818,500
0120132000613782,500
0120142000070206,500
0806552000056438,500
0215142000408253,500
0806542000728045,500
0120132000616405,500
0806542000711017,500
0215142000405580,500
6304192000001102,500
0120132000622775,500
0120132000615472,500
0215142000410853,500
0806542000717329,500
0806542000720083,500
0120132000619391,500
0806542000773504,500
0215152000055913,500
0606802000011400,500
0806542000727450,500
5408082000004114,500
0120132000607917,500
0120132000607917,500
0806552000060299,500
0708082000001019,500
0806542000713526,500
0120132000680765,500
0120132000653184,500
0806542000713492,500
0215142000418633,500
5408072000031092,500
0806542000718442,500
0120132000621348,500
5806722000001291,500
0120132000620191,500
0215142000407255,500
0120132000653127,500
0306832000001443,500
0806542000732575,500
0806542000728557,500
0806542000716834,500
0120142000070057,500
0806542000732625,500
0120132000653036,500
0806552000056107,500
0120132000621256,500
0120132000621702,500
0806552000056842,500
0215142000408071,500
0215142000414053,500
0806542000727823,500
0806542000732690,500
0806542000721545,500
6304192000001169,500
0806542000719630,500
0120142000068531,500
0215142000416769,500
0120132000634184,500
0120132000630315,500
0215142000415548,500
0120132000643797,500
0120132000623625,500
0806542000745189,500
0215142000408931,500
0215142000412149,500
0215142000415563,500
0215142000420944,500
0806542000733052,500
0806552000057469,500
0215142000414236,500
0215142000430307,500
0606812000003745,500
0215142000412305,500
0215142000417874,500
0120132000648093,500
0806552000056479,500
0806552000056503,500
0215142000417882,500
0120132000622445,500
0120132000629382,500
1206052000000159,500
0806542000733409,500
0120132000623492,500
0806542000731395,500
0120142000069133,500
0215142000419888,500
0120142000072350,500
0120142000072350,500
0120142000069851,500
0806542000736188,500
0606802000011392,500
0806542000735230,500
0806542000728086,500
0806542000731924,500
0806542000731494,500
0806542000731502,500
0806542000728961,500
0806542000746658,500
0120132000624334,500
0120132000624334,500
0215142000417023,500
0215142000417197,500
0120132000630786,500
0606812000003430,500
0806552000062899,500
0806542000738739,500
0806542000741147,500
0120132000634762,500
0215142000419383,500
0215142000420423,500
0806542000780079,500
0120132000636262,500
0120132000636262,500
0120132000647988,500
0806542000734050,500
0120132000632998,500
0806552000057121,500
0806542000778842,500
0215142000421496,500
0120132000628863,500
0215142000430463,500
0120132000632501,500
0215142000422742,500
0215142000416470,500
0215142000417270,500
0120132000633129,500
0806542000735107,500
0806542000735057,500
0806542000731916,500
0606802000011806,500
0806542000734423,500
0806542000738275,500
0120132000631412,500
0806542000739091,500
0120132000634903,500
0120132000653069,500
0215142000444233,500
0215142000444415,500
0806542000736923,500
0806542000773520,500
0806542000740313,500
0806552000060307,500
0215152000059683,500
0120132000657391,500
0120132000634986,500
0120142000073481,500
0215152000058172,500
0215142000421306,500
0806552000058350,500
0215142000419854,500
0606802000011897,500
0806542000739422,500
0215142000425224,500
0806552000059168,500
0120132000661377,500
0120132000635009,500
0215152000059766,500
0120132000636510,500
0120132000636510,500
0120132000639795,500
0120132000649661,500
0806552000057618,500
0806542000739745,500
0806552000059523,500
0806552000057444,500
0806542000775137,500
0806542000740685,500
0806542000740594,500
0806552000057519,500
0120132000634416,500
0120132000653341,500
0215142000443854,500
0606802000012523,500
0806542000740743,500
3006982000007804,500
0120132000633798,500
0120132000633814,500
0120132000633806,500
0806542000750882,500
0120132000640066,500
0215152000060103,500
0806552000059507,500
0120132000644597,500
0120142000072285,500
0120142000072285,500
0120142000072285,500
0806542000751112,500
5408082000004072,500
0215142000465980,500
0806542000744570,500
0120132000640199,500
0120142000072228,500
0120132000637708,500
0120132000653192,500
0120142000075262,500
0215142000423385,500
0215142000433582,500
0215142000431214,500
0120132000638409,500
0806542000801826,500
0120132000640413,500
0806542000745486,500
0806542000749314,500
0120132000651477,500
0806542000744877,500
0806542000751476,500
0120132000640363,500
0806542000746237,500
0806542000744935,500
0806542000745965,500
0120132000647384,500
0806552000058210,500
0120132000640462,500
0806542000746260,500
0806542000751351,500
0215142000424409,500
0806542000800760,500
0120132000646196,500
0806552000059994,500
0120132000643524,500
0120132000653325,500
0215142000430505,500
0120132000646808,500
0120132000654018,500
0215142000439290,500
0806552000058855,500
0806542000747821,500
0806542000753761,500
0120142000072582,500
0120142000072582,500
0120142000072582,500
0120142000072582,500
1206042000001000,500
0120132000644340,500
0120142000072095,500
0120132000650024,500
0120132000645131,500
0120132000645131,500
0120132000648945,500
0120142000072756,500
0120142000072772,500
0215142000428913,500
0215142000430737,500
0806542000755683,500
0215142000428731,500
0806542000760378,500
0215152000060954,500
0215152000060962,500
0806542000754934,500
0806542000764685,500
0215142000436577,500
0120142000072129,500
0806542000748480,500
0120132000640843,500
0215142000432162,500
0215142000432162,500
0806542000755824,500
0806542000751955,500
0120132000651840,500
0120132000642294,500
0806542000757598,500
0120132000651899,500
0215142000426545,500
0806542000763794,500
0806542000756038,500
0806552000058988,500
0806552000059515,500
0120132000646394,500
0806542000752201,500
0215142000433103,500
0120132000646220,500
0120132000646220,500
0806542000752326,500
0120132000645024,500
0120132000645024,500
0806542000756236,500
0120132000649182,500
0120142000075304,500
0806542000778909,500
0806542000763802,500
0806542000764768,500
0215142000428533,500
0806542000755139,500
0806542000764586,500
0806542000764123,500
0215142000464785,500
0806542000763877,500
0215152000060285,500
0806542000764669,500
0215142000459090,500
0806542000757580,500
0215142000439449,500
0806542000755212,500
0606802000013182,500
0120132000655015,500
0215142000431420,500
0120132000686416,500
0215142000438714,500
0215142000438714,500
0806542000758356,500
0215142000434648,500
0806542000756566,500
0606802000013208,500
0120142000075833,500
0120132000643904,500
3006982000007929,500
0215142000432824,500
0215152000060970,500
0120132000655197,500
0120132000656005,500
0120132000656054,500
0806542000759065,500
0215142000431388,500
0806542000759750,500
0806542000757234,500
0120142000073150,500
0806542000764297,500
0120132000661864,500
0806552000060018,500
0215142000431727,500
0120142000074232,500
0120132000682498,500
0120132000656260,500
0215142000431560,500
0215142000431958,500
0215142000431958,500
0120132000656294,500
0708082000001142,500
